iteration,iteration_started_at,sample_timestamp,pair,pair_key,hops,src_container,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct,error
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:10.728504,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,43,True,196.993656,0.06,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:10.936218,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,44,True,212.986843,0.059,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:11.160272,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,45,True,275.931657,5.62,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:11.446558,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,46,True,181.788665,0.052,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:11.647756,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,47,True,185.392203,0.06,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:11.845192,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,48,True,296.2107,0.106,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:12.152292,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,49,True,115.40595,0.057,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:12.280599,R1-R3,r1_r3,2,as100r-r1-10.0.12.254,10.0.23.253,50,True,199.757575,1.45,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:12.480422,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,1,True,320.153158,4.15,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:12.811481,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,2,True,239.447883,0.049,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:13.063573,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,3,True,145.368123,0.05,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:13.219268,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,4,True,245.232461,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:13.475348,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,5,True,161.208554,0.045,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:13.646801,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,6,True,272.601168,0.487,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:13.929695,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,7,True,247.68604,0.052,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:14.187823,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,8,True,183.451535,0.049,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:14.381840,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,9,True,311.054976,0.055,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:14.702979,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,10,True,117.561769,0.055,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:14.831263,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,11,True,119.900396,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:14.964721,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,12,True,262.687503,0.038,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:15.238675,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,13,True,197.059277,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:15.446288,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,14,True,206.384813,0.048,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:15.664217,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,15,True,216.803083,0.045,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:15.891568,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,16,True,291.474363,0.045,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:16.194019,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,17,True,192.721082,0.389,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:16.399119,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,18,True,218.648899,0.038,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:16.627946,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,19,True,260.742594,0.046,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:16.899080,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,20,True,184.079034,0.051,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:17.094000,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,21,True,180.506498,0.046,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:17.285434,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,22,True,215.841255,0.176,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:17.511550,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,23,True,234.7755,0.037,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:17.756557,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,24,True,220.217896,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:17.987420,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,25,True,138.650103,0.032,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:18.136410,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,26,True,150.667686,0.048,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:18.298988,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,27,True,289.4997,0.046,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:18.600105,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,28,True,229.783937,0.046,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:18.841309,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,29,True,257.108271,0.048,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:19.109032,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,30,True,335.414624,0.054,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:19.456264,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,31,True,335.201604,0.055,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:19.802870,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,32,True,221.121103,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:20.034722,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,33,True,193.611372,0.098,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:20.241025,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,34,True,229.471292,0.047,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:20.481268,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,35,True,189.102426,0.041,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:20.680537,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,36,True,318.23666,0.056,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:21.009598,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,37,True,267.726453,0.044,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:21.288055,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,38,True,248.276202,0.151,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:21.547982,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,39,True,256.951885,0.254,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:21.815423,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,40,True,283.306929,0.039,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:22.111696,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,41,True,239.760136,0.048,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:22.362496,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,42,True,201.893951,0.032,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:22.574667,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,43,True,226.86426,0.042,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:22.812112,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,44,True,259.936661,0.054,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:23.082357,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,45,True,362.97057,0.076,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:23.457935,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,46,True,307.66777,0.051,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:23.776477,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,47,True,223.919492,0.045,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:24.010651,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,48,True,200.252691,1.09,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:24.221143,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,49,True,195.462681,0.049,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:24.427132,R3-R2,r3_r2,1,as100r-r3-10.0.23.253,10.0.23.254,50,True,233.353797,3.5,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:24.660550,R3-R6,r3_r6,3,as100r-r3-10.0.23.253,10.0.56.253,1,True,187.93873,0.547,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:24.859161,R3-R6,r3_r6,3,as100r-r3-10.0.23.253,10.0.56.253,2,True,222.672853,0.071,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:25.093067,R3-R6,r3_r6,3,as100r-r3-10.0.23.253,10.0.56.253,3,True,221.725987,0.075,0.0,
1,2026-04-24T14:05:47.883686,2026-04-24T14:06:25.325500,R3-R6,r3_r6,3,as100r-r3-10.0.23.253,10.0.56.253,4,True,186.876822,0.07,0.0,
