iteration,iteration_started_at,sample_started_at,pair,pair_key,hops,src_node,dst_node,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:13.955939,R1-R3,r1_r3,2,r1,r3,10.0.23.2,22,True,33.483454,0.035,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.000249,R1-R3,r1_r3,2,r1,r3,10.0.23.2,23,True,40.507119,0.148,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.050981,R1-R3,r1_r3,2,r1,r3,10.0.23.2,24,True,28.962524,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.090439,R1-R3,r1_r3,2,r1,r3,10.0.23.2,25,True,29.600465,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.130789,R1-R3,r1_r3,2,r1,r3,10.0.23.2,26,True,25.874593,0.039,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.167617,R1-R3,r1_r3,2,r1,r3,10.0.23.2,27,True,28.863075,0.038,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.206961,R1-R3,r1_r3,2,r1,r3,10.0.23.2,28,True,37.61121,0.086,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.255357,R1-R3,r1_r3,2,r1,r3,10.0.23.2,29,True,25.384182,0.188,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.291109,R1-R3,r1_r3,2,r1,r3,10.0.23.2,30,True,31.450041,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.332803,R1-R3,r1_r3,2,r1,r3,10.0.23.2,31,True,35.38021,0.748,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.378610,R1-R3,r1_r3,2,r1,r3,10.0.23.2,32,True,36.280628,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.425451,R1-R3,r1_r3,2,r1,r3,10.0.23.2,33,True,33.418391,0.039,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.469311,R1-R3,r1_r3,2,r1,r3,10.0.23.2,34,True,39.346258,0.045,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.519332,R1-R3,r1_r3,2,r1,r3,10.0.23.2,35,True,38.368036,0.042,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.570629,R1-R3,r1_r3,2,r1,r3,10.0.23.2,36,True,31.073931,0.045,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.614191,R1-R3,r1_r3,2,r1,r3,10.0.23.2,37,True,32.51234,0.062,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.657516,R1-R3,r1_r3,2,r1,r3,10.0.23.2,38,True,27.034209,0.041,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.695071,R1-R3,r1_r3,2,r1,r3,10.0.23.2,39,True,31.797706,0.033,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.737993,R1-R3,r1_r3,2,r1,r3,10.0.23.2,40,True,26.818221,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.774898,R1-R3,r1_r3,2,r1,r3,10.0.23.2,41,True,23.646153,0.026,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.809979,R1-R3,r1_r3,2,r1,r3,10.0.23.2,42,True,36.854581,0.039,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.857188,R1-R3,r1_r3,2,r1,r3,10.0.23.2,43,True,28.028079,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.896306,R1-R3,r1_r3,2,r1,r3,10.0.23.2,44,True,23.946739,0.129,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.931899,R1-R3,r1_r3,2,r1,r3,10.0.23.2,45,True,24.091692,0.026,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:14.976773,R1-R3,r1_r3,2,r1,r3,10.0.23.2,46,True,38.635948,0.038,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.026987,R1-R3,r1_r3,2,r1,r3,10.0.23.2,47,True,41.630495,0.061,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.078733,R1-R3,r1_r3,2,r1,r3,10.0.23.2,48,True,24.256189,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.113064,R1-R3,r1_r3,2,r1,r3,10.0.23.2,49,True,28.942917,0.041,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.152995,R1-R3,r1_r3,2,r1,r3,10.0.23.2,50,True,28.466269,0.043,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.181521,R3-R2,r3_r2,1,r3,r2,10.0.23.1,1,True,44.111526,0.037,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.237088,R3-R2,r3_r2,1,r3,r2,10.0.23.1,2,True,31.040875,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.278215,R3-R2,r3_r2,1,r3,r2,10.0.23.1,3,True,27.727107,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.316579,R3-R2,r3_r2,1,r3,r2,10.0.23.1,4,True,51.417966,0.033,0.0
